log_id,customer_id,usedate
L00000049012330,AS009373,2018-04-01
L00000049012331,AS015315,2018-04-01
L00000049012332,AS040841,2018-04-01
L00000049012333,AS046594,2018-04-01
L00000049012334,AS073285,2018-04-01
L00000049012335,AS077151,2018-04-01
L00000049012336,AS161071,2018-04-01
L00000049012337,AS170379,2018-04-01
L00000049012338,AS186727,2018-04-01
L00000049012339,AS193568,2018-04-01
L00000049012340,AS235724,2018-04-01
L00000049012341,AS256239,2018-04-01
L00000049012342,AS320552,2018-04-01
L00000049012343,AS335390,2018-04-01
L00000049012344,AS352209,2018-04-01
L00000049012345,AS353422,2018-04-01
L00000049012346,AS356812,2018-04-01
L00000049012347,AS369418,2018-04-01
L00000049012348,AS377637,2018-04-01
L00000049012349,AS394423,2018-04-01
L00000049012350,AS404195,2018-04-01
L00000049012351,AS412668,2018-04-01
L00000049012352,AS417696,2018-04-01
L00000049012353,AS458614,2018-04-01
L00000049012354,AS460177,2018-04-01
L00000049012355,AS462883,2018-04-01
L00000049012356,AS494168,2018-04-01
L00000049012357,AS518169,2018-04-01
L00000049012358,AS547635,2018-04-01
L00000049012359,AS575700,2018-04-01
L00000049012360,AS584189,2018-04-01
L00000049012361,AS587750,2018-04-01
L00000049012362,AS621407,2018-04-01
L00000049012363,AS632327,2018-04-01
L00000049012364,AS636570,2018-04-01
L00000049012365,AS647421,2018-04-01
L00000049012366,AS649439,2018-04-01
L00000049012367,AS656522,2018-04-01
L00000049012368,AS660812,2018-04-01
L00000049012369,AS676181,2018-04-01
L00000049012370,AS703258,2018-04-01
L00000049012371,AS707671,2018-04-01
L00000049012372,AS712913,2018-04-01
L00000049012373,AS716291,2018-04-01
L00000049012374,AS719871,2018-04-01
L00000049012375,AS726272,2018-04-01
L00000049012376,AS727718,2018-04-01
L00000049012377,AS744154,2018-04-01
L00000049012378,AS761330,2018-04-01
L00000049012379,AS781999,2018-04-01
L00000049012380,AS798945,2018-04-01
L00000049012381,AS826583,2018-04-01
L00000049012382,AS846781,2018-04-01
L00000049012383,AS860362,2018-04-01
L00000049012384,AS924898,2018-04-01
L00000049012385,AS926104,2018-04-01
L00000049012386,AS929382,2018-04-01
L00000049012387,AS963520,2018-04-01
L00000049012388,AS970810,2018-04-01
L00000049012389,AS995937,2018-04-01
L00000049012390,GD009242,2018-04-01
L00000049012391,GD032887,2018-04-01
L00000049012392,GD070247,2018-04-01
L00000049012393,GD094886,2018-04-01
L00000049012394,GD110372,2018-04-01
L00000049012395,GD114852,2018-04-01
L00000049012396,GD141776,2018-04-01
L00000049012397,GD149816,2018-04-01
L00000049012398,GD164396,2018-04-01
L00000049012399,GD172092,2018-04-01
L00000049012400,GD172600,2018-04-01
L00000049012401,GD183457,2018-04-01
L00000049012402,GD212992,2018-04-01
L00000049012403,GD216317,2018-04-01
L00000049012404,GD228250,2018-04-01
L00000049012405,GD230222,2018-04-01
L00000049012406,GD235669,2018-04-01
L00000049012407,GD238607,2018-04-01
L00000049012408,GD262737,2018-04-01
L00000049012409,GD289305,2018-04-01
L00000049012410,GD296025,2018-04-01
L00000049012411,GD373372,2018-04-01
L00000049012412,GD398206,2018-04-01
L00000049012413,GD462611,2018-04-01
L00000049012414,GD470986,2018-04-01
L00000049012415,GD471767,2018-04-01
L00000049012416,GD479069,2018-04-01
L00000049012417,GD479253,2018-04-01
L00000049012418,GD479679,2018-04-01
L00000049012419,GD489678,2018-04-01
