month,revenue
2022-01-01 00:00:00+09,4637766.12
2022-02-01 00:00:00+09,4007599.03
2022-03-01 00:00:00+09,3945061.08
2022-04-01 00:00:00+09,3777937.22
2022-05-01 00:00:00+09,3863712.32
2022-06-01 00:00:00+09,3582034.51
2022-07-01 00:00:00+09,3708488.53
2022-08-01 00:00:00+09,3943153.27
2022-09-01 00:00:00+09,3968065.09
2022-10-01 00:00:00+09,4240833.00
2022-11-01 00:00:00+09,4744312.76
2022-12-01 00:00:00+09,5441084.08
2023-01-01 00:00:00+09,5024630.42
2023-02-01 00:00:00+09,4073441.26
2023-03-01 00:00:00+09,4051247.24
2023-04-01 00:00:00+09,3951195.28
2023-05-01 00:00:00+09,4050942.62
2023-06-01 00:00:00+09,3736916.83
2023-07-01 00:00:00+09,3885587.26
2023-08-01 00:00:00+09,4140840.88
2023-09-01 00:00:00+09,4114981.27
2023-10-01 00:00:00+09,4532778.59
2023-11-01 00:00:00+09,5005479.18
2023-12-01 00:00:00+09,5624209.85
