month,total_sales
2023-01-01 00:00:00+09,17496.00
2023-02-01 00:00:00+09,7915.00
2023-03-01 00:00:00+09,50627.00
2023-04-01 00:00:00+09,24575.00
2023-05-01 00:00:00+09,22793.00
2023-06-01 00:00:00+09,28746.00
2023-07-01 00:00:00+09,34931.00
2023-08-01 00:00:00+09,24665.00
2023-09-01 00:00:00+09,71960.00
2023-10-01 00:00:00+09,27923.00
2023-11-01 00:00:00+09,70610.00
2023-12-01 00:00:00+09,62795.00
2024-01-01 00:00:00+09,20054.00
2024-02-01 00:00:00+09,11134.00
2024-03-01 00:00:00+09,36362.00
2024-04-01 00:00:00+09,32488.00
2024-05-01 00:00:00+09,23023.00
2024-06-01 00:00:00+09,24047.00
2024-07-01 00:00:00+09,26119.00
2024-08-01 00:00:00+09,28487.00
2024-09-01 00:00:00+09,54529.00
2024-10-01 00:00:00+09,26804.00
2024-11-01 00:00:00+09,71110.00
2024-12-01 00:00:00+09,61630.00
2025-01-01 00:00:00+09,18799.00
2025-02-01 00:00:00+09,29878.00
2025-03-01 00:00:00+09,49766.00
2025-04-01 00:00:00+09,38889.00
2025-05-01 00:00:00+09,48663.00
2025-06-01 00:00:00+09,40803.00
2025-07-01 00:00:00+09,36511.00
2025-08-01 00:00:00+09,23839.00
2025-09-01 00:00:00+09,61291.00
2025-10-01 00:00:00+09,39185.00
2025-11-01 00:00:00+09,68989.00
2025-12-01 00:00:00+09,78544.00
2026-01-01 00:00:00+09,44270.00
2026-02-01 00:00:00+09,31694.00
2026-03-01 00:00:00+09,44086.00
2026-04-01 00:00:00+09,33733.00
2026-05-01 00:00:00+09,45484.00
2026-06-01 00:00:00+09,42952.00
2026-07-01 00:00:00+09,43538.00
2026-08-01 00:00:00+09,46843.00
2026-09-01 00:00:00+09,74643.00
2026-10-01 00:00:00+09,67197.00
2026-11-01 00:00:00+09,87908.00
2026-12-01 00:00:00+09,65530.00
