id,trade_date,ticker,open_price,high_price,low_price,close_price,volume
1,2021-09-13,AAPL,150.6300,151.4200,148.7500,149.5500,102404300
2,2021-09-14,AAPL,150.3500,151.0700,146.9100,148.1200,109296300
3,2021-09-15,AAPL,148.5600,149.4400,146.3700,149.0300,83281300
4,2021-09-16,AAPL,148.4400,148.9700,147.2200,148.7900,68034100
5,2021-09-17,AAPL,148.8200,148.8200,145.7600,146.0600,129868800
6,2021-09-20,AAPL,143.8000,144.8400,141.2700,142.9400,123478900
7,2021-09-21,AAPL,143.9300,144.6000,142.7800,143.4300,75834000
8,2021-09-22,AAPL,144.4500,146.4300,143.7000,145.8500,76404300
9,2021-09-23,AAPL,146.6500,147.0800,145.6400,146.8300,64838200
10,2021-09-24,AAPL,145.6600,147.4700,145.5600,146.9200,53477900
11,2021-09-27,AAPL,145.4700,145.9600,143.8200,145.3700,74150700
12,2021-09-28,AAPL,143.2500,144.7500,141.6900,141.9100,108972300
13,2021-09-29,AAPL,142.4700,144.4500,142.0300,142.8300,74602000
14,2021-09-30,AAPL,143.6600,144.3800,141.2800,141.5000,89056700
15,2021-10-01,AAPL,141.9000,142.9200,139.1100,142.6500,94639600
16,2021-10-04,AAPL,141.7600,142.2100,138.2700,139.1400,98322000
17,2021-10-05,AAPL,139.4900,142.2400,139.3600,141.1100,80861100
18,2021-10-06,AAPL,139.4700,142.1500,138.3700,142.0000,83221100
19,2021-10-07,AAPL,143.0600,144.2200,142.7200,143.2900,61732700
20,2021-10-08,AAPL,144.0300,144.1800,142.5600,142.9000,58773200
21,2021-10-11,AAPL,142.2700,144.8100,141.8100,142.8100,64452200
22,2021-10-12,AAPL,143.2300,143.2500,141.0400,141.5100,73035900
23,2021-10-13,AAPL,141.2400,141.4000,139.2000,140.9100,78762700
24,2021-10-14,AAPL,142.1100,143.8800,141.5100,143.7600,69907100
25,2021-10-15,AAPL,143.7700,144.9000,143.5100,144.8400,67940300
26,2021-10-18,AAPL,143.4500,146.8400,143.1600,146.5500,85589200
27,2021-10-19,AAPL,147.0100,149.1700,146.5500,148.7600,76378900
28,2021-10-20,AAPL,148.7000,149.7500,148.1200,149.2600,58418800
29,2021-10-21,AAPL,148.8100,149.6400,147.8700,149.4800,61421000
30,2021-10-22,AAPL,149.6900,150.1800,148.6400,148.6900,58883400
31,2021-10-25,AAPL,148.6800,149.3700,147.6200,148.6400,50720600
32,2021-10-26,AAPL,149.3300,150.8400,149.0100,149.3200,60893400
33,2021-10-27,AAPL,149.3600,149.7300,148.4900,148.8500,56094900
34,2021-10-28,AAPL,149.8200,153.1700,149.7200,152.5700,100077900
35,2021-10-29,AAPL,147.2200,149.9400,146.4100,149.8000,124953200
36,2021-11-01,AAPL,148.9900,149.7000,147.8000,148.9600,74588300
37,2021-11-02,AAPL,148.6600,151.5700,148.6500,150.0200,69122000
38,2021-11-03,AAPL,150.3900,151.9700,149.8200,151.4900,54511500
39,2021-11-04,AAPL,151.5800,152.4300,150.6400,150.9600,60394600
40,2021-11-05,AAPL,151.8900,152.2000,150.0600,151.2800,65463900
41,2021-11-08,AAPL,151.4100,151.5700,150.1600,150.4400,55020900
42,2021-11-09,AAPL,150.2000,151.4300,150.0600,150.8100,56787900
43,2021-11-10,AAPL,150.0200,150.1300,147.8500,147.9200,65187100
44,2021-11-11,AAPL,148.9600,149.4300,147.6800,147.8700,41000000
45,2021-11-12,AAPL,148.4300,150.4000,147.4800,149.9900,63804000
46,2021-11-15,AAPL,150.3700,151.8800,149.4300,150.0000,59222800
47,2021-11-16,AAPL,149.9400,151.4900,149.3400,151.0000,59256200
48,2021-11-17,AAPL,151.0000,155.0000,150.9900,153.4900,88807000
49,2021-11-18,AAPL,153.7100,158.6700,153.0500,157.8700,137827700
50,2021-11-19,AAPL,157.6500,161.0200,156.5300,160.5500,117305600
51,2021-11-22,AAPL,161.6800,165.7000,161.0000,161.0200,117467900
52,2021-11-23,AAPL,161.1200,161.8000,159.0600,161.4100,96041900
53,2021-11-24,AAPL,160.7500,162.1400,159.6400,161.9400,69463600
54,2021-11-26,AAPL,159.5700,160.4500,156.3600,156.8100,76959800
55,2021-11-29,AAPL,159.3700,161.1900,158.7900,160.2400,88748200
56,2021-11-30,AAPL,159.9900,165.5200,159.9200,165.3000,174048100
57,2021-12-01,AAPL,167.4800,170.3000,164.5300,164.7700,152052500
58,2021-12-02,AAPL,158.7400,164.2000,157.8000,163.7600,136739200
59,2021-12-03,AAPL,164.0200,164.9600,159.7200,161.8400,118023100
60,2021-12-06,AAPL,164.2900,167.8800,164.2800,165.3200,107497000
61,2021-12-07,AAPL,169.0800,171.5800,168.3400,171.1800,120405400
62,2021-12-08,AAPL,172.1300,175.9600,170.7000,175.0800,116998900
63,2021-12-09,AAPL,174.9100,176.7500,173.9200,174.5600,108923700
64,2021-12-10,AAPL,175.2100,179.6300,174.6900,179.4500,115402700
65,2021-12-13,AAPL,181.1200,182.1300,175.5300,175.7400,153237000
66,2021-12-14,AAPL,175.2500,177.7400,172.2100,174.3300,139380400
67,2021-12-15,AAPL,175.1100,179.5000,172.3100,179.3000,131063300
68,2021-12-16,AAPL,179.2800,181.1400,170.7500,172.2600,150185800
69,2021-12-17,AAPL,169.9300,173.4700,169.6900,171.1400,195432700
70,2021-12-20,AAPL,168.2800,170.5800,167.4600,169.7500,107499100
71,2021-12-21,AAPL,171.5600,173.2000,169.1200,172.9900,91185900
72,2021-12-22,AAPL,173.0400,175.8600,172.1500,175.6400,92135300
73,2021-12-23,AAPL,175.8500,176.8500,175.2700,176.2800,68356600
74,2021-12-27,AAPL,177.0900,180.4200,177.0700,180.3300,74919600
75,2021-12-28,AAPL,180.1600,181.3300,178.5300,179.2900,79144300
76,2021-12-29,AAPL,179.3300,180.6300,178.1400,179.3800,62348900
77,2021-12-30,AAPL,179.4700,180.5700,178.0900,178.2000,59773000
78,2021-12-31,AAPL,178.0900,179.2300,177.2600,177.5700,64062300
79,2022-01-03,AAPL,177.8300,182.8800,177.7100,182.0100,104487900
80,2022-01-04,AAPL,182.6300,182.9400,179.1200,179.7000,99310400
81,2022-01-05,AAPL,179.6100,180.1700,174.6400,174.9200,94537600
82,2022-01-06,AAPL,172.7000,175.3000,171.6400,172.0000,96904000
83,2022-01-07,AAPL,172.8900,174.1400,171.0300,172.1700,86709100
84,2022-01-10,AAPL,169.0800,172.5000,168.1700,172.1900,106765600
85,2022-01-11,AAPL,172.3200,175.1800,170.8200,175.0800,76138300
86,2022-01-12,AAPL,176.1200,177.1800,174.8200,175.5300,74805200
87,2022-01-13,AAPL,175.7800,176.6200,171.7900,172.1900,84505800
88,2022-01-14,AAPL,171.3400,173.7800,171.0900,173.0700,80440800
89,2022-01-18,AAPL,171.5100,172.5400,169.4100,169.8000,90956700
90,2022-01-19,AAPL,170.0000,171.0800,165.9400,166.2300,94815000
91,2022-01-20,AAPL,166.9800,169.6800,164.1800,164.5100,91420500
92,2022-01-21,AAPL,164.4200,166.3300,162.3000,162.4100,122848900
93,2022-01-24,AAPL,160.0200,162.3000,154.7000,161.6200,162294600
94,2022-01-25,AAPL,158.9800,162.7600,157.0200,159.7800,115798400
95,2022-01-26,AAPL,163.5000,164.3900,157.8200,159.6900,108275300
96,2022-01-27,AAPL,162.4500,163.8400,158.2800,159.2200,121954600
97,2022-01-28,AAPL,165.7100,170.3500,162.8000,170.3300,179935700
98,2022-01-31,AAPL,170.1600,175.0000,169.5100,174.7800,115541600
99,2022-02-01,AAPL,174.0100,174.8400,172.3100,174.6100,86213900
100,2022-02-02,AAPL,174.7500,175.8800,173.3300,175.8400,84914300
101,2022-02-03,AAPL,174.4800,176.2400,172.1200,172.9000,89418100
102,2022-02-04,AAPL,171.6800,174.1000,170.6800,172.3900,82465400
103,2022-02-07,AAPL,172.8600,173.9500,170.9500,171.6600,77251200
104,2022-02-08,AAPL,171.7300,175.3500,171.4300,174.8300,74829200
105,2022-02-09,AAPL,176.0500,176.6500,174.9000,176.2800,71285000
106,2022-02-10,AAPL,174.1400,175.4800,171.5500,172.1200,90865900
107,2022-02-11,AAPL,172.3300,173.0800,168.0400,168.6400,98670700
108,2022-02-14,AAPL,167.3700,169.5800,166.5600,168.8800,86185500
109,2022-02-15,AAPL,170.9700,172.9500,170.2500,172.7900,62527400
110,2022-02-16,AAPL,171.8500,173.3400,170.0500,172.5500,61177400
111,2022-02-17,AAPL,171.0300,171.9100,168.4700,168.8800,69589300
112,2022-02-18,AAPL,169.8200,170.5400,166.1900,167.3000,82772700
113,2022-02-22,AAPL,164.9800,166.6900,162.1500,164.3200,91162800
114,2022-02-23,AAPL,165.5400,166.1500,159.7500,160.0700,90009200
115,2022-02-24,AAPL,152.5800,162.8500,152.0000,162.7400,141147500
116,2022-02-25,AAPL,163.8400,165.1200,160.8700,164.8500,91974200
117,2022-02-28,AAPL,163.0600,165.4200,162.4300,165.1200,95056600
118,2022-03-01,AAPL,164.7000,166.6000,161.9700,163.2000,83474400
119,2022-03-02,AAPL,164.3900,167.3600,162.9500,166.5600,79724800
120,2022-03-03,AAPL,168.4700,168.9100,165.5500,166.2300,76678400
121,2022-03-04,AAPL,164.4900,165.5500,162.1000,163.1700,83737200
122,2022-03-07,AAPL,163.3600,165.0200,159.0400,159.3000,96418800
123,2022-03-08,AAPL,158.8200,162.8800,155.8000,157.4400,131148300
124,2022-03-09,AAPL,161.4800,163.4100,159.4100,162.9500,91454900
125,2022-03-10,AAPL,160.2000,160.3900,155.9800,158.5200,105342000
126,2022-03-11,AAPL,158.9300,159.2800,154.5000,154.7300,96970100
127,2022-03-14,AAPL,151.4500,154.1200,150.1000,150.6200,108732100
128,2022-03-15,AAPL,150.9000,155.5700,150.3800,155.0900,92964300
129,2022-03-16,AAPL,157.0500,160.0000,154.4600,159.5900,102300200
130,2022-03-17,AAPL,158.6100,161.0000,157.6300,160.6200,75615400
131,2022-03-18,AAPL,160.5100,164.4800,159.7600,163.9800,123511700
