State,Year,Crime Count_aggravated_assault,Crime Count_burglary,Crime Count_homicide,Crime Count_larceny,Crime Count_motor_vehicle_theft,Crime Count_robbery,Crime Rate_aggravated_assault,Crime Rate_burglary,Crime Rate_homicide,Crime Rate_larceny,Crime Rate_motor_vehicle_theft,Crime Rate_robbery,State Abbr,Population,Violent Crime,Property Crime,Rape Legacy,Rape Revised,Location,Age,Average household size,Black/white,GDP per capita,Gini coefficient,Hispanic/white,Labor force participation,Log of GDP per capita,"Number of corruption convictions per 1,000,000 people",People with less than 9 years of education/people with college degree or above,Poverty rate,Unemployment rate
Alabama,2005,11293,43473,374,120780,13140,6447,248.289096189,955.80199049,8.222803681,2655.481894771,288.897434155,141.744426027,AL,4548327,19678,177393,1564,,south,37.4,2.48,0.3691249,40829.08606,0.47300002,0.0320121,61.7,10.61715,5.68951,0.2972893,13.7,4.5
Alabama,2006,10463,44780,382,121451,15018,7062,227.504495513,973.683581103,8.30609933,2640.795993938,326.547119719,153.554119021,AL,4599030,19553,181249,1646,,south,37.2,2.5,0.37965,40181.42086,0.472,0.0351332,61.5,10.60116,11.0175,0.3130323,12.6,4.0
Alabama,2007,11417,45379,412,124465,14238,7398,246.701978953,980.56311666,8.902620244,2689.477254129,307.658997664,159.858214968,AL,4627851,20775,184082,1548,,south,37.3,2.48,0.3804643,40162.94165,0.47099999,0.0375909,61.1,10.6007,11.1281,0.296267,13.1,4.0
Alabama,2008,11795,50411,351,126539,13466,7346,253.008430039,1081.340226088,7.529119029,2714.32248654,288.852184732,157.575237564,AL,4661900,21110,190416,1618,,south,37.4,2.5,0.3828507,39747.41156,0.46700001,0.0408255,60.6,10.5903,3.64658,0.2789401,12.0,5.7
Alabama,2009,13103,48844,322,118072,11091,6265,278.271661781,1037.312145922,6.838393886,2507.524357,235.542318615,133.051359311,AL,4708708,21194,178007,1504,,south,37.4,2.48,0.3843096,37807.01703,0.47099999,0.0463569,59.7,10.54025,4.88457,0.2730448,13.4,11.0
Alabama,2010,11869,42484,275,115564,10780,4864,248.025191619,887.783489827,5.746644848,2414.928236944,225.268478023,101.642474685,AL,4785401,18363,168828,1355,,south,37.8,2.57,0.393883,38088.20755,0.472,0.0570079,59.5,10.54766,2.92563,0.2823263,14.7,10.5
Alabama,2011,13591,51119,299,111411,10662,4906,282.928391076,1064.161314357,6.224382969,2319.280036655,221.954418781,102.129842294,AL,4803689,20166,173192,1370,,south,38.1,2.54,0.4000218,38531.06199,0.47350001,0.0581422,59.1,10.55922,2.915,0.2504067,14.9,9.6
Alabama,2012,15035,47481,342,111523,9874,5020,312.08951977,985.588459475,7.099076539,2314.942435207,204.959888142,104.202819371,AL,4817528,21693,168878,1296,,south,38.2,2.55,0.3972534,38634.85008,0.47260001,0.0577254,58.1,10.56191,2.90335,0.2295937,14.7,8.0
Alabama,2013,13788,42410,346,108862,10563,4645,285.22985952,877.327991169,7.157639353,2252.008483251,218.514868444,96.090273968,AL,4833996,20834,161835,1449,2055.0,south,38.3,2.59,0.4007154,38927.64712,0.4752,0.0592706,57.7,10.56946,2.89632,0.2089839,14.3,7.2
Alabama,2014,13744,39723,276,104223,10141,4702,283.591300862,819.637459555,5.694935902,2150.519219274,209.247626749,97.020248592,AL,4846411,20727,154087,1425,2005.0,south,38.6,2.57,0.4029985,38424.47864,0.47580001,0.0600252,57.1,10.55645,2.26833,0.2155239,15.0,6.8
